STUSPS,NAME,2020 Anti-American Indian or Alaska Native Hate Crime Rate,2020 Anti-Asian Hate Crime Rate,2020 Anti-Black or African American Hate Crime Rate,2020 Anti-Hispanic or Latino Hate Crime Rate,2020 Anti-White Hate Crime Rate,2020 Total Hate Crime Rate,2019 Anti-American Indian or Alaska Native Hate Crime Rate,2019 Anti-Asian Hate Crime Rate,2019 Anti-Black or African American Hate Crime Rate,2019 Anti-Hispanic or Latino Hate Crime Rate,2019 Anti-White Hate Crime Rate,2019 Total Hate Crime Rate,2018 Anti-American Indian or Alaska Native Hate Crime Rate,2018 Anti-Asian Hate Crime Rate,2018 Anti-Black or African American Hate Crime Rate,2018 Anti-Hispanic or Latino Hate Crime Rate,2018 Anti-White Hate Crime Rate,2018 Total Hate Crime Rate,2017 Anti-American Indian or Alaska Native Hate Crime Rate,2017 Anti-Asian Hate Crime Rate,2017 Anti-Black or African American Hate Crime Rate,2017 Anti-Hispanic or Latino Hate Crime Rate,2017 Anti-White Hate Crime Rate,2017 Total Hate Crime Rate,2016 Anti-American Indian or Alaska Native Hate Crime Rate,2016 Anti-Asian Hate Crime Rate,2016 Anti-Black or African American Hate Crime Rate,2016 Anti-Hispanic or Latino Hate Crime Rate,2016 Anti-White Hate Crime Rate,2016 Total Hate Crime Rate,2015 Anti-American Indian or Alaska Native Hate Crime Rate,2015 Anti-Asian Hate Crime Rate,2015 Anti-Black or African American Hate Crime Rate,2015 Anti-Hispanic or Latino Hate Crime Rate,2015 Anti-White Hate Crime Rate,2015 Total Hate Crime Rate
AL,Alabama,0,0,0.8452961956,0,0.4844324601,0.5517877309,0,0,0,0,0.0301182412,0.02050756216,,,,,,,0,0,0.543829977,1.008191556,0.1205653793,0.2679986336,4.180776788,0,0.7019990593,0.5167878534,0.0601497066,0.2685304609,0,0,0.54835556,0,0.0300709916,0.1656102115
AK,Alaska,0.9319838208,0,8.370302168,0,0.2141506464,0.5427482055,1.822306858,0,28.9196447,0,0,1.221054231,0,0,12.4331717,0,0.4176812841,0.6770334021,0,0,0,0,0.414962726,0.2707953938,1.930986541,2.261522457,32.72920673,0,0.4136350663,1.76425484,0,0,55.95076333,0,0.6195147135,2.318050111
AZ,Arizona,3.858347213,2.926543752,43.06301041,1.680902733,0.5857347513,3.178114943,0.9451378956,0.428792563,34.01981969,1.403564057,0.2571424531,2.226855911,0,0.8737936187,22.93134682,0.6471558425,0.3542039629,1.511512326,1.998787402,2.342831171,29.70996923,2.234346855,0.6063292053,2.599139553,0.337004435,1.461781717,29.60537773,1.703288173,0.5730486071,2.288745451,2.375127663,1.999100405,41.1966929,1.091968029,0.9788238184,3.011173864
AR,Arkansas,5.223023086,2.16778669,3.494670627,1.306455195,0.5726975685,1.128865659,0,2.197609001,2.393687628,0.4461696337,0.04345853447,0.4667646873,0,0,2.169338569,1.369537827,0.2605439985,0.6353089323,0,0,3.695901246,0,0.2171891296,0.7387647316,0,0,1.302541258,2.414887297,0,0.3705610159,0,0,0,2.460315117,0.0433303912,0.2028254944
CA,California,0.6417887937,1.851118007,23.4122122,1.332819364,0.4398350736,2.3865182,0.3289495326,1.018898279,13.06006575,1.004717737,0.1748160658,1.402624619,0.674593136,0.7137326989,15.25657278,1.169392633,0.2465036014,1.593920216,2.054667863,0.9266540593,16.03908057,1.052571651,0.2287433661,1.6237911,3.502479756,0.6349671162,14.72255934,0.7648962539,0.3167151621,1.464264975,0.6967961314,0.5131150301,13.19862787,0.7186106463,0.1768643492,1.238890845
CO,Colorado,11.17922155,4.402062366,53.03531728,3.736416906,0.5178770064,3.676389103,5.469761336,3.929339254,34.66768244,3.393556547,0.3182973891,2.620157855,3.670869813,1.158111121,14.03890532,2.278877172,0.1288774942,1.24748221,0,0.6069029137,7.234744862,1.814725199,0.131113122,0.8093414187,1.993620415,1.90448379,19.14756849,2.296227475,0.3099362461,1.604688676,1.999680051,6.516058827,18.71021157,1.797613847,0.2474081188,1.553352153
CT,Connecticut,0,0.6125124034,15.96185901,1.192073731,0.1886796725,2.072510418,20.09040683,1.240256237,7.041959647,2.089718585,0.3684556293,1.482486796,10.31140441,1.259311031,9.517212937,2.136025675,0.731293512,1.982407391,10.65530101,5.752636625,9.302572826,1.268308946,0.3627046742,1.724867978,31.91828918,1.963582097,12.61081418,2.231611521,0.4696396058,2.173567744,33.67759317,3.318510652,9.986477769,1.519445099,0.4319091609,1.808961428
DE,Delaware,0,0,5.169294391,0,0,1.136740593,0,0,3.297189852,1.131682586,0.4557628939,1.149127499,0,0,5.717226002,0,0.3053878043,1.474468007,0,2.735753563,3.393281303,1.179342634,0.1533342533,1.059622859,0,0,4.925453265,0,0.1545590276,1.176854482,0,0,3.491602696,1.239065249,0.155612233,0.9714459649
DC,District of Columbia,0,3.476809679,7.846066453,26.92963671,2.427975831,7.692592603,0,3.62423891,8.416170268,30.18729246,10.49475787,11.69366074,0,7.485590239,8.714135885,41.45715203,7.487458507,11.97958212,0,3.912669223,13.39305181,20.88293029,8.410398178,12.19528518,0,4.160426028,3.766501987,13.02347119,4.134794294,5.007518865,0,8.395600705,3.160086839,1.519687552,2.304811294,2.934435446
FL,Florida,0,0.8464992178,1.390096186,0.109712761,0.05921213128,0.3157856436,0,0.8752336874,0.8931147108,0.2244381751,0.04457958143,0.2583529825,0,0.7153485178,1.718743592,0.1735870018,0.09015333666,0.4078038312,0,0,1.498075584,0.3988023964,0.06517206697,0.389576184,0,0,1.243396786,0.1248217649,0.02643623435,0.2508220567,0,0,1.04064573,0.1501909678,0.06026233399,0.2494175337
GA,Georgia,8.580744809,0,3.403774394,1.776800318,1.029854998,1.863723935,0,0.965062331,1.550613861,1.91456216,0.7870285883,1.172643158,0,0,0.6174173433,0.619538382,0.04934230004,0.2816221904,0,0.7713152983,0.4694441906,0,0.06598677196,0.2156517068,0,0,0.4129430323,0.3236280866,0.1655796638,0.2574430754,0,0,0.8718798407,0.4371011452,0.06638242817,0.3497659017
HI,Hawaii,0,0.7483363547,37.4293521,0,4.957381103,2.18298483,0,0.3721934289,57.63688761,0,4.79079716,2.531478229,0,1.303921824,49.49364197,0.6758492045,3.374464304,2.320627779,,,,,,,,,,,,,,,,,,
ID,Idaho,4.342350949,4.081466063,173.370319,3.587974902,0.3868524332,2.052022182,0,12.35228723,134.2507132,2.32044404,0.06470778933,1.455392228,4.387889425,0,69.3481276,1.913207349,0,0.7702293328,0,0,133.5588995,2.970620563,0.198954824,1.448073007,0,0,67.09479536,2.045104786,0.06697228352,0.7337282014,14.63129146,0,70.70707071,1.0454018,0.2023043818,0.9279037356
IL,Illinois,0,0.7046550925,2.337671012,0.3651807462,0.02253758057,0.4482483869,0,0.2863180077,1.764456134,0.1829502279,0.1313642849,0.3915233319,0,0.2895101777,2.19283218,0.7816659785,0.1850000843,0.5927544966,0,0,2.290699596,0.09250394298,0.08661100971,0.4045267791,3.401476241,0.4574572392,2.666504137,0.5616731119,0.1186507426,0.5913621904,0,0.1548845955,2.816736616,0.2355334196,0.06442765531,0.4971352195
IN,Indiana,14.2551675,1.260199742,14.40048867,1.682527998,0.8892350655,2.284641549,0,0,4.947437467,4.113889791,0.1800701589,0.9001301138,0,0.6896979813,8.071389829,6.884803905,1.892479413,2.81735721,0,1.452643812,6.687763025,1.357564349,0.3245121906,1.012938705,0,3.071441735,7.727390805,0.9312677814,0.03613526804,0.8650022809,27.03981613,0,4.643341614,0.7122405664,0.1808579576,0.6850727966
IA,Iowa,0,0,17.94335028,0,0,0.6666643386,0,2.640577758,4.29704621,0,0,0.2229648722,0,0,7.278616335,0.5455656425,0,0.2873105466,0,0,2.809988573,1.12174274,0.03540829482,0.1924247507,0,4.506534475,11.64460661,0.5790153265,0,0.5150343351,0,0,3.067861087,0,0,0.09697671848
KS,Kansas,0,2.296395807,43.41612547,3.412949869,1.158861253,3.948336531,4.164931279,0,19.96582321,2.60356399,0.32574152,1.786541297,0,1.197160336,10.60064428,4.69737182,1.016004509,2.06272329,4.254775986,3.71572246,14.2458598,2.09042585,0.3650348527,1.515245435,4.189183528,0,21.46613717,2.746087588,0.4860418895,2.001178625,0,1.321824647,24.3465042,0.6187774196,0.486901142,1.935715577
KY,Kentucky,35.86800574,4.402764936,29.62101708,6.549607321,0.8055494562,3.473815944,117.1958236,3.067908147,21.45277047,4.294636612,0.594548917,2.697203809,718.0420712,0,24.00370504,11.33901124,0.5431021373,4.391690112,2102.102102,10.06829661,21.52437919,5.91824925,0.7766789209,7.164852174,209.898365,3.503608717,19.41514724,17.01316819,1.554599074,3.943799497,22.06774799,1.802353874,20.17093426,6.272607523,1.220274946,2.933582999
LA,Louisiana,0,1.235635735,1.732602175,0,0.5250438937,0.9218336515,3.793482797,0,0.5322818992,2.508738773,0.1728742945,0.4287831862,3.806333739,0,1.197671726,1.277030478,0.2412872884,0.6218350739,0,0,0.5997409119,0.4315776754,0.3436899724,0.4288660289,0,0,0.2677016011,0,0.3437264762,0.3013558862,0,1.285049731,0.7410586225,0,0.3100734598,0.4540292174
ME,Maine,22.48706993,19.64636542,214.6498524,0,0.07961593274,3.579885518,0,0,64.97725796,9.049773756,0,1.048302798,0,20.11128243,44.74022706,0,0.07941442976,0.9003513621,0,0,82.81083639,4.895481471,0,1.127685583,0,6.829201666,134.9444887,0,0.07933510832,1.804615756,0,0,86.45341491,5.142181313,0.3169506809,1.354299902
MD,Maryland,0,0.2601260571,0.8318876974,0.8072093481,0.1832034218,0.4471957843,0,0,0.3335011956,0.1648853552,0,0.1163013254,0,0.2671817932,0.7829583522,0.8490232836,0.1482280376,0.4164282615,0,0.5360996073,2.46878114,0.5232834993,0.0883597254,0.8672334037,0,0,1.132550288,0.5453097905,0.05868131352,0.4194699846,0,0,1.199372214,0,0.08781926327,0.4046850387
MA,Massachusetts,14.28673477,3.433152235,28.24479078,4.588596131,1.216316814,3.85566542,6.773232186,4.420514725,23.16423442,3.089551261,0.4487207532,2.788096085,0,3.841165545,21.93678289,2.787890923,0.6343276481,2.708561822,20.92633929,2.346178662,29.21320437,4.472642556,0.5785338199,3.299299974,0,3.400237045,26.57220588,3.963161728,0.6924086746,3.114736665,7.582075972,4.741997879,29.23079172,3.531432575,0.6560623252,3.280846745
MI,Michigan,25.98181273,0.6312254611,16.32174122,2.302365873,0.9953590415,3.278554733,16.88048616,1.924798137,13.4612614,2.168115691,0.7934725366,2.769620276,16.90617075,0.6570237481,11.63277651,4.217739814,1.44527375,3.063021517,17.37317582,0.6918452204,12.07698716,2.889171386,1.471868309,3.082946991,5.672042503,2.529184988,15.03873018,3.162015342,1.189588872,3.279648018,9.267668811,2.976566976,11.65494416,1.927108203,0.7541020274,2.444303465
MN,Minnesota,5.498735291,4.35979974,29.1815006,3.575201105,0.4593026168,2.714205257,0,0.3728824935,18.23205195,4.67358357,0.1301786985,1.545823419,1.695432505,1.14347135,16.65760727,3.074148461,0.1736848367,1.41116244,1.737136504,2.344345244,22.93907687,1.756549294,0.4784426778,1.985165532,3.51469141,2.430931168,16.08477319,6.158840109,0.3480133333,1.669458883,0,1.245919613,19.38658181,0.3690254775,0.3264867609,1.420881533
